# ./funcgraph udp_sendmsg
Tracing "udp_sendmsg"... Ctrl-C to end.
   6)               |  udp_sendmsg() {
   6)   0.083 us    |    sock_tx_timestamp();
   6)               |    sk_dst_check() {
   6)   0.054 us    |      ipv4_dst_check();
   6)   0.441 us    |    }
   6)               |    ip_make_skb() {
   6)               |      ip_setup_cork() {
   6)   0.065 us    |        ipv4_mtu();
   6)   0.453 us    |      }
   6)               |      __ip_append_data() {
   6)               |        sock_alloc_send_skb() {
   6)               |          sock_alloc_send_pskb() {
   6)               |            __alloc_skb() {
   6)   0.066 us    |              kmem_cache_alloc_node();
   6)               |              __kmalloc_reserve() {
   6)               |                __kmalloc_node_track_caller() {
   6)   0.040 us    |                  kmalloc_slab();
   6)   0.236 us    |                  __slab_alloc();
   6)   0.877 us    |                }
   6)   1.169 us    |              }
   6)   0.193 us    |              ksize();
   6)   2.338 us    |            }
   6)   2.766 us    |          }
   6)   3.097 us    |        }
   6)   0.037 us    |        skb_put();
   6)               |        ip_generic_getfrag() {
   6)               |          csum_partial_copy_fromiovecend() {
   6)   0.313 us    |            csum_partial_copy_from_user();
   6)   0.722 us    |          }
   6)   1.037 us    |        }
   6)               |        sock_wmalloc() {
   6)               |          __alloc_skb() {
   6)               |            kmem_cache_alloc_node() {
   6)   0.105 us    |              __slab_alloc();
   6)   0.393 us    |            }
   6)               |            __kmalloc_reserve() {
   6)               |              __kmalloc_node_track_caller() {
   6)   0.033 us    |                kmalloc_slab();
   6)   0.361 us    |              }
   6)   0.624 us    |            }
   6)   0.073 us    |            ksize();
   6)   1.860 us    |          }
   6)   2.192 us    |        }
   6)   0.035 us    |        skb_put();
   6)               |        ip_generic_getfrag() {
   6)               |          csum_partial_copy_fromiovecend() {
   6)   0.070 us    |            csum_partial_copy_from_user();
   6)   0.337 us    |          }
   6)   0.600 us    |        }
   6)   9.053 us    |      }
   6)               |      __ip_make_skb() {
   6)   0.034 us    |        ipv4_mtu();
   6)               |        __ip_select_ident() {
   6)   0.152 us    |          ip_idents_reserve();
   6)   0.443 us    |        }
   6)               |        ip_cork_release() {
   6)   0.046 us    |          kfree();
   6)   0.036 us    |          dst_release();
   6)   0.581 us    |        }
   6)   2.011 us    |      }
   6) + 12.370 us   |    }
   6)               |    udp_send_skb() {
   6)   0.113 us    |      csum_partial();
   6)               |      ip_send_skb() {
   6)               |        ip_local_out() {
   6)               |          __ip_local_out() {
   6)               |            nf_hook_slow() {
   6)               |              nf_iterate() {
   6)   0.070 us    |                ipv4_conntrack_defrag [nf_defrag_ipv4]();
   6)               |                ipv4_conntrack_local [nf_conntrack_ipv4]() {
