Tracing "xfs_file_aio_read"... Ctrl-C to end.
  3)               |  xfs_file_aio_read() {
  3)   0.378 us    |    generic_segment_checks();
  3)               |    xfs_rw_ilock() {
  3)               |      xfs_ilock() {
  3)               |        down_read() {
  3)   0.262 us    |          _cond_resched();
  3)   0.783 us    |        }
  3)   1.562 us    |      }
  3)   2.250 us    |    }
  3)               |    generic_file_aio_read() {
  3)   0.232 us    |      generic_segment_checks();
  3)   0.227 us    |      _cond_resched();
  3)   0.262 us    |      find_get_page();
  3)               |      page_cache_sync_readahead() {
  3)               |        ondemand_readahead() {
  3)   0.369 us    |          max_sane_readahead();
  3)   0.234 us    |          get_init_ra_size();
  3)               |          ra_submit() {
  3)               |            __do_page_cache_readahead() {
  3)               |              __page_cache_alloc() {
  3)               |                alloc_pages_current() {
  3)   0.251 us    |                  policy_nodemask();
  3)   0.229 us    |                  policy_zonelist();
  3)               |                  __alloc_pages_nodemask() {
  3)   0.255 us    |                    _cond_resched();
  3)   0.227 us    |                    next_zones_zonelist();
  3)               |                    get_page_from_freelist() {
  3)   0.255 us    |                      next_zones_zonelist();
  3)               |                      zone_watermark_ok() {
  3)   0.255 us    |                        __zone_watermark_ok();
  3)   0.705 us    |                      }
  3)               |                      zone_statistics() {
  3)   0.227 us    |                        __inc_zone_state();
  3)   0.236 us    |                        __inc_zone_state();
  3)   1.173 us    |                      }
  3)   3.334 us    |                    }
  3)   4.751 us    |                  }
  3)   6.217 us    |                }
  3)   6.733 us    |              }
  3)               |              __page_cache_alloc() {
  3)               |                alloc_pages_current() {
  3)   0.229 us    |                  policy_nodemask();
  3)   0.229 us    |                  policy_zonelist();
  3)               |                  __alloc_pages_nodemask() {
  3)   0.229 us    |                    _cond_resched();
  3)   0.225 us    |                    next_zones_zonelist();
  3)               |                    get_page_from_freelist() {
  3)   0.229 us    |                      next_zones_zonelist();
  3)               |                      zone_watermark_ok() {
  3)   0.254 us    |                        __zone_watermark_ok();
  3)   0.700 us    |                      }
  3)               |                      zone_statistics() {
  3)   0.227 us    |                        __inc_zone_state();
  3)   0.223 us    |                        __inc_zone_state();
  3)   1.123 us    |                      }
  3)   3.165 us    |                    }
  3)   4.545 us    |                  }
  3)   5.927 us    |                }
  3)   6.373 us    |              }
  3)               |              __page_cache_alloc() {
  3)               |                alloc_pages_current() {
  3)   0.227 us    |                  policy_nodemask();
  3)   0.225 us    |                  policy_zonelist();
  3)               |                  __alloc_pages_nodemask() {
  3)   0.248 us    |                    _cond_resched();
  3)   0.225 us    |                    next_zones_zonelist();
  3)               |                    get_page_from_freelist() {
  3)   0.229 us    |                      next_zones_zonelist();
  3)               |                      zone_watermark_ok() {
  3)   0.229 us    |                        __zone_watermark_ok();
  3)   0.718 us    |                      }
  3)               |                      zone_statistics() {
  3)   0.223 us    |                        __inc_zone_state();
  3)   0.225 us    |                        __inc_zone_state();
  3)   1.179 us    |                      }
  3)   3.268 us    |                    }
  3)   4.725 us    |                  }
  3)   6.617 us    |                }
  3)   7.061 us    |              }
  3)               |              __page_cache_alloc() {
  3)               |                alloc_pages_current() {
  3)   0.229 us    |                  policy_nodemask();
  3)   0.227 us    |                  policy_zonelist();
  3)               |                  __alloc_pages_nodemask() {
  3)   0.223 us    |                    _cond_resched();
  3)   0.225 us    |                    next_zones_zonelist();
  3)               |                    get_page_from_freelist() {
  3)   0.231 us    |                      next_zones_zonelist();
  3)               |                      zone_watermark_ok() {
  3)   0.228 us    |                        __zone_watermark_ok();
  3)   0.682 us    |                      }
  3)               |                      zone_statistics() {
  3)   0.225 us    |                        __inc_zone_state();
  3)   0.225 us    |                        __inc_zone_state();
  3)   1.138 us    |                      }
  3)   3.143 us    |                    }
  3)   4.521 us    |                  }
  3)   5.929 us    |                }
  3)   6.400 us    |              }
  3)               |              xfs_vm_readpages() {
  3)               |                mpage_readpages() {
  3)               |                  add_to_page_cache_lru() {
  3)               |                    add_to_page_cache_locked() {
  3)               |                      mem_cgroup_cache_charge() {
  3)               |                        mem_cgroup_charge_common() {
  3)   0.384 us    |                          lookup_page_cgroup();
  3)   0.244 us    |                          __mem_cgroup_try_charge();
  3)   0.283 us    |                          __mem_cgroup_commit_charge();
  3)   1.821 us    |                        }
  3)   2.374 us    |                      }
  3)   0.225 us    |                      get_page();
  3)   0.225 us    |                      _spin_lock_irq();
  3)               |                      __inc_zone_page_state() {
  3)   0.225 us    |                        __inc_zone_state();
  3)   0.670 us    |                      }
  3)   5.023 us    |                    }
  3)               |                    __lru_cache_add() {
  3)   0.227 us    |                      get_page();
  3)   0.670 us    |                    }
  3)   6.386 us    |                  }
  3)               |                  do_mpage_readpage() {
  3)               |                    xfs_get_blocks() {
  3)               |                      __xfs_get_blocks() {
  3)               |                        xfs_ilock_map_shared() {
  3)               |                          xfs_ilock() {
  3)               |                            down_read() {
  3)   0.253 us    |                              _cond_resched();
  3)   1.050 us    |                            }
  3)   1.545 us    |                          }
  3)   2.117 us    |                        }
  3)               |                        xfs_bmapi() {
  3)               |                          xfs_bmap_search_extents() {
  3)               |                            xfs_bmap_search_multi_extents() {
  3)               |                              xfs_iext_bno_to_ext() {
  3)   0.225 us    |                                xfs_bmbt_get_startoff();
  3)   0.266 us    |                                xfs_bmbt_get_blockcount();
  3)   1.494 us    |                              }
  3)               |                              xfs_bmbt_get_all() {
  3)   0.244 us    |                                __xfs_bmbt_get_all();
  3)   0.769 us    |                              }
  3)   3.182 us    |                            }
  3)   3.720 us    |                          }
  3)   5.400 us    |                        }
  3)               |                        xfs_iunlock() {
  3)   0.242 us    |                          up_read();
  3)   0.718 us    |                        }
  3)   0.315 us    |                        }
  3)   0.324 us    |                        xfs_find_bdev_for_inode();
  3) + 10.596 us   |                      }
  3) + 11.136 us   |                    }
  3)   0.508 us    |                    bio_get_nr_vecs();
  3)               |                    mpage_alloc() {
  3)               |                      bio_alloc() {
  3)               |                        bio_alloc_bioset() {
  3)               |                          mempool_alloc() {
  3)   0.226 us    |                            _cond_resched();
  3)               |                            mempool_alloc_slab() {
  3)               |                              kmem_cache_alloc() {
  3)               |                                cache_alloc_refill() {
  3)   0.272 us    |                                  _spin_lock();
  3)   0.266 us    |                                  transfer_objects();
  3)   1.610 us    |                                }
  3)   2.194 us    |                              }
  3)   2.655 us    |                            }
  3)   3.670 us    |                          }
  3)   0.232 us    |                          bio_init();
  3)   4.607 us    |                        }
  3)   5.076 us    |                      }
  3)   5.552 us    |                    }
  3)               |                    bio_add_page() {
  3)   0.405 us    |                      __bio_add_page();
  3)   1.024 us    |                    }
  3) + 20.205 us   |                  }
  3)   0.225 us    |                  put_page();
  3)               |                  add_to_page_cache_lru() {
  3)               |                    add_to_page_cache_locked() {
  3)               |                      mem_cgroup_cache_charge() {
  3)               |                        mem_cgroup_charge_common() {
  3)   0.235 us    |                          lookup_page_cgroup();
  3)   0.230 us    |                          __mem_cgroup_try_charge();
  3)   0.264 us    |                          __mem_cgroup_commit_charge();
  3)   1.642 us    |                        }
  3)   2.090 us    |                      }
  3)   0.225 us    |                      get_page();
  3)   0.227 us    |                      _spin_lock_irq();
  3)               |                      __inc_zone_page_state() {
  3)   0.225 us    |                        __inc_zone_state();
  3)   0.675 us    |                      }
  3)   4.830 us    |                    }
  3)               |                    __lru_cache_add() {
  3)   0.225 us    |                      get_page();
  3)   0.900 us    |                    }
  3)   6.420 us    |                  }
  3)               |                  do_mpage_readpage() {
  3)               |                    bio_add_page() {
  3)   0.300 us    |                      __bio_add_page();
  3)   0.761 us    |                    }
  3)   1.386 us    |                  }
  3)   0.315 us    |                  put_page();
  3)               |                  add_to_page_cache_lru() {
  3)               |                    add_to_page_cache_locked() {
  3)               |                      mem_cgroup_cache_charge() {
  3)               |                        mem_cgroup_charge_common() {
  3)   0.225 us    |                          lookup_page_cgroup();
  3)   0.232 us    |                          __mem_cgroup_try_charge();
  3)   0.262 us    |                          __mem_cgroup_commit_charge();
  3)   1.612 us    |                        }
  3)   2.064 us    |                      }
  3)               |                      kmem_cache_alloc() {
  3)   0.227 us    |                        _cond_resched();
  3)               |                        cache_alloc_refill() {
  3)   0.246 us    |                          _spin_lock();
  3)   0.263 us    |                          transfer_objects();
  3)   2.527 us    |                        }
  3)   3.572 us    |                      }
  3)   0.230 us    |                      get_page();
  3)   0.255 us    |                      _spin_lock_irq();
  3)   0.227 us    |                        __inc_zone_state();
  3)   0.686 us    |                      }
  3)   8.270 us    |                    }
  3)               |                    __lru_cache_add() {
  3)   0.257 us    |                      get_page();
  3)   0.703 us    |                    }
  3)   9.644 us    |                  }
  3)               |                  do_mpage_readpage() {
  3)               |                    bio_add_page() {
  3)   0.250 us    |                      __bio_add_page();
  3)   0.724 us    |                    }
  3)   1.203 us    |                  }
  3)   0.229 us    |                  put_page();
  3)               |                  add_to_page_cache_lru() {
  3)               |                    add_to_page_cache_locked() {
  3)               |                      mem_cgroup_cache_charge() {
  3)               |                        mem_cgroup_charge_common() {
  3)   0.225 us    |                          lookup_page_cgroup();
  3)   0.233 us    |                          __mem_cgroup_try_charge();
  3)   0.263 us    |                          __mem_cgroup_commit_charge();
  3)   1.630 us    |                        }
  3)   2.085 us    |                      }
  3)   0.227 us    |                      get_page();
  3)   0.231 us    |                      _spin_lock_irq();
  3)               |                      __inc_zone_page_state() {
  3)   0.225 us    |                        __inc_zone_state();
  3)   0.675 us    |                      }
  3)   4.468 us    |                    }
  3)               |                    __lru_cache_add() {
  3)   0.229 us    |                      get_page();
  3)   0.678 us    |                    }
  3)   5.823 us    |                  }
  3)               |                  do_mpage_readpage() {
  3)               |                    bio_add_page() {
  3)   0.255 us    |                      __bio_add_page();
  3)   1.024 us    |                    }
  3)   1.534 us    |                  }
  3)   0.230 us    |                  put_page();
  3)               |                  mpage_bio_submit() {
